INFO  [2020-03-26 04:19:01,973] main                 pid 5329@localhost.localdomain
DEBUG [2020-03-26 04:19:01,975] main                 Using property file /usr/multiverse/bin/multiverse.properties
DEBUG [2020-03-26 04:19:24,046] ObjectManager-4      sendRPC type=mv.GENERATE_SUB_OBJECT id=631 class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,046] ObjectManager-4      Sending mv.GENERATE_SUB_OBJECT id=631 to combat
DEBUG [2020-03-26 04:19:24,051] MessageIO            handleMessageData from combat,308 responseTo=631 type=msgsys.RESPONSE len=25 class=multiverse.msgsys.GenericResponseMessage
DEBUG [2020-03-26 04:19:24,051] ObjectManager-4      ObjectManagerPlugin, GenerateObjectHook: created subobj for ns=[Namespace NS.combat:4]
DEBUG [2020-03-26 04:19:24,051] ObjectManager-4      ObjectManagerPlugin, GenerateObjectHook: creating subobj for ns=[Namespace NS.wmgr:3], subTemplate=[Template: name=Wolf (ns=NS.master, key=:persistent, val=false)(ns=NS.wmgr, key=:instance, val=1901)(ns=NS.wmgr, key=:loc, val=(-951661,0,3947075))(ns=NS.wmgr, key=:followsTerrain, val=true)(ns=NS.wmgr, key=:displayContext, val=[DisplayContext: meshFile=wolf.mesh, attachableFlag=false, castShadow=true, receiveShadow=false, numSubmeshes=0])(ns=NS.wmgr, key=:objType, val=[MOB,1])
DEBUG [2020-03-26 04:19:24,051] ObjectManager-4      sendRPC type=mv.GENERATE_SUB_OBJECT id=632 class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,051] ObjectManager-4      Sending mv.GENERATE_SUB_OBJECT id=632 to wmgr_1
DEBUG [2020-03-26 04:19:24,054] MessageIO            handleMessageData from wmgr_1,576 type=msgsys.FILTER_UPDATE len=51 class=multiverse.msgsys.FilterUpdateMessage
DEBUG [2020-03-26 04:19:24,055] MessageIO            [wmgr_1,576] Got filter update subId=7 rpc=true
DEBUG [2020-03-26 04:19:24,055] MessageIO            ADD SUBJECT 2216
DEBUG [2020-03-26 04:19:24,055] MessageIO            sendResponse to wmgr_1,576 type=msgsys.RESPONSE id=633 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,058] MessageIO            handleMessageData from wmgr_1,577 type=msgsys.FILTER_UPDATE len=51 class=multiverse.msgsys.FilterUpdateMessage
DEBUG [2020-03-26 04:19:24,058] MessageIO            [wmgr_1,577] Got filter update subId=8 rpc=true
DEBUG [2020-03-26 04:19:24,058] MessageIO            ADD SUBJECT 2216
DEBUG [2020-03-26 04:19:24,058] MessageIO            sendResponse to wmgr_1,577 type=msgsys.RESPONSE id=634 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,063] MessageIO            handleMessageData from wmgr_1,578 type=msgsys.FILTER_UPDATE len=51 class=multiverse.msgsys.FilterUpdateMessage
DEBUG [2020-03-26 04:19:24,063] MessageIO            [wmgr_1,578] Got filter update subId=3 rpc=true
DEBUG [2020-03-26 04:19:24,063] MessageIO            ADD SUBJECT 2216
DEBUG [2020-03-26 04:19:24,063] MessageIO            sendResponse to wmgr_1,578 type=msgsys.RESPONSE id=635 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,064] MessageIO            handleMessageData from wmgr_1,579 responseTo=632 type=msgsys.RESPONSE len=25 class=multiverse.msgsys.GenericResponseMessage
DEBUG [2020-03-26 04:19:24,064] ObjectManager-4      ObjectManagerPlugin, GenerateObjectHook: created subobj for ns=[Namespace NS.wmgr:3]
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      ObjectManagerPlugin, resolveDeps: masterOid=2216, ns=[Namespace NS.inv:6]
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      resolveDeps: depNamespaces.size() 1
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      resolveDeps: depNamespaces element 0 [Namespace NS.wmgr:3]
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      ObjectManagerPlugin, resolveDeps: ns [Namespace NS.inv:6] depends on ns [Namespace NS.wmgr:3]
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      ObjectManagerPlugin, resolveDeps: ns [Namespace NS.inv:6]: resolved all deps, removing from table
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      sendRPC type=mv.SUB_OBJECT_DEPS_READY id=636 class=multiverse.server.plugins.ObjectManagerClient$SubObjectDepsReadyMessage
DEBUG [2020-03-26 04:19:24,065] ObjectManager-4      Sending mv.SUB_OBJECT_DEPS_READY id=636 to objmgr
DEBUG [2020-03-26 04:19:24,065] SelfMessage          SelfMessageHandler.handle pos=31
DEBUG [2020-03-26 04:19:24,065] SelfMessage          handleSelfMessage id=636 type=mv.SUB_OBJECT_DEPS_READY class=multiverse.server.plugins.ObjectManagerClient$SubObjectDepsReadyMessage
DEBUG [2020-03-26 04:19:24,065] SelfMessage          deliverMessage rpc to multiverse.mars.plugins.MarsInventoryPlugin@2905b568
DEBUG [2020-03-26 04:19:24,065] Inventory-8          EnginePlugin.handleMessage: got msg id 636, matching 1 hooks for msgtype MessageType['mv.SUB_OBJECT_DEPS_READY', 59]
DEBUG [2020-03-26 04:19:24,066] Inventory-8          SubObjectDepsReadyHook.processMessage: masterOid 2216, namespace [Namespace NS.inv:6], deps NS.inv
DEBUG [2020-03-26 04:19:24,066] Inventory-8          removeFromDepsOutstanding: masterOid 2216, namespace [Namespace NS.inv:6], deps NS.inv
DEBUG [2020-03-26 04:19:24,066] Inventory-8          MarsInventoryPlugin, CreateInventoryHook.processMessage: masterOid=2216 invItems=Wolf Skin
DEBUG [2020-03-26 04:19:24,066] Inventory-8          MarsInventoryPlugin, CreateInventoryHook.processMessage: creating item=Wolf Skin equip=false
DEBUG [2020-03-26 04:19:24,066] Inventory-8          sendRPC type=mv.GENERATE_OBJECT id=637 class=multiverse.server.plugins.ObjectManagerClient$GenerateObjectMessage
DEBUG [2020-03-26 04:19:24,066] Inventory-8          Sending mv.GENERATE_OBJECT id=637 to objmgr
DEBUG [2020-03-26 04:19:24,067] SelfMessage          SelfMessageHandler.handle pos=71
DEBUG [2020-03-26 04:19:24,067] SelfMessage          handleSelfMessage id=637 type=mv.GENERATE_OBJECT class=multiverse.server.plugins.ObjectManagerClient$GenerateObjectMessage
DEBUG [2020-03-26 04:19:24,067] SelfMessage          deliverMessage rpc to multiverse.server.plugins.ObjectManagerPlugin@52a67293
DEBUG [2020-03-26 04:19:24,067] ObjectManager-3      EnginePlugin.handleMessage: got msg id 637, matching 1 hooks for msgtype MessageType['mv.GENERATE_OBJECT', 57]
DEBUG [2020-03-26 04:19:24,068] ObjectManager-3      ObjectManagerPlugin, GenerateObjectHook: generating entity: Wolf Skin, template=[Template: name=Wolf Skin (ns=NS.master, key=:persistent, val=false)(ns=NS.item, key=item_icon, val=Interface\Icons\INV_hide_basic-pelt)
DEBUG [2020-03-26 04:19:24,068] ObjectManager-3      ObjectManagerPlugin, GenerateObjectHook: created master obj: [Entity: Wolf Skin:2222]
DEBUG [2020-03-26 04:19:24,068] ObjectManager-3      ObjectManagerPlugin, GenerateObjectHook: creating subobj for ns=[Namespace NS.item:7], subTemplate=[Template: name=Wolf Skin (ns=NS.master, key=:persistent, val=false)(ns=NS.item, key=item_icon, val=Interface\Icons\INV_hide_basic-pelt)
DEBUG [2020-03-26 04:19:24,068] ObjectManager-3      sendRPC type=mv.GENERATE_SUB_OBJECT id=638 class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,068] ObjectManager-3      Sending mv.GENERATE_SUB_OBJECT id=638 to objmgr
DEBUG [2020-03-26 04:19:24,068] SelfMessage          SelfMessageHandler.handle pos=144
DEBUG [2020-03-26 04:19:24,068] SelfMessage          handleSelfMessage id=638 type=mv.GENERATE_SUB_OBJECT class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,068] SelfMessage          deliverMessage rpc to multiverse.mars.plugins.MarsInventoryPlugin@2905b568
DEBUG [2020-03-26 04:19:24,068] Inventory-3          EnginePlugin.handleMessage: got msg id 638, matching 1 hooks for msgtype MessageType['mv.GENERATE_SUB_OBJECT', 58]
DEBUG [2020-03-26 04:19:24,068] Inventory-3          InventoryPlugin, GenerateSubObjectHook: masterOid=2222, template=[Template: name=Wolf Skin (ns=NS.master, key=:persistent, val=false)(ns=NS.item, key=item_icon, val=Interface\Icons\INV_hide_basic-pelt)
DEBUG [2020-03-26 04:19:24,068] Inventory-3          MarsInventoryPlugin, createItemSubObj: creating item=Wolf Skin masterOid=2222
DEBUG [2020-03-26 04:19:24,068] Inventory-3          EnginePlugin.sendSubObjectResponse: origMsg=[multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage subject=2222], oid=2222, depNs=null, hook=null
DEBUG [2020-03-26 04:19:24,068] Inventory-3          sendSubObjectResponse: oid=2222
DEBUG [2020-03-26 04:19:24,068] Inventory-3          EnginePlugin.sendSubObjectResponse: set entity 2222 namespace to [Namespace NS.item:7]
DEBUG [2020-03-26 04:19:24,068] Inventory-3          sendResponse to objmgr,638 type=msgsys.RESPONSE id=639 class=multiverse.msgsys.GenericResponseMessage
DEBUG [2020-03-26 04:19:24,068] Inventory-3          EnginePlugin.handleMessage: processed msg 638, type=MessageType['mv.GENERATE_SUB_OBJECT', 58], time in ms=0
DEBUG [2020-03-26 04:19:24,068] SelfMessage          SelfMessageHandler.handle pos=29
DEBUG [2020-03-26 04:19:24,069] SelfMessage          handleSelfMessage id=639 responseTo=638 type=msgsys.RESPONSE class=multiverse.msgsys.GenericResponseMessage
DEBUG [2020-03-26 04:19:24,069] ObjectManager-3      ObjectManagerPlugin, GenerateObjectHook: created subobj for ns=[Namespace NS.item:7]
DEBUG [2020-03-26 04:19:24,069] ObjectManager-3      sendResponse to objmgr,637 type=msgsys.LONG_RESPONSE id=640 class=multiverse.msgsys.LongResponseMessage
DEBUG [2020-03-26 04:19:24,069] ObjectManager-3      EnginePlugin.handleMessage: processed msg 637, type=MessageType['mv.GENERATE_OBJECT', 57], time in ms=1
DEBUG [2020-03-26 04:19:24,069] SelfMessage          SelfMessageHandler.handle pos=37
DEBUG [2020-03-26 04:19:24,069] SelfMessage          handleSelfMessage id=640 responseTo=637 type=msgsys.LONG_RESPONSE class=multiverse.msgsys.LongResponseMessage
DEBUG [2020-03-26 04:19:24,069] Inventory-8          MarsInventoryPlugin, CreateInventoryHook.processMessage: created item=2222
DEBUG [2020-03-26 04:19:24,069] Inventory-8          MarsInventoryPlugin, addItem: found bag object: [Entity: RootBag_Owner2216:2216]
DEBUG [2020-03-26 04:19:24,069] Inventory-8          MarsInventoryPlugin, addItem: found item: [MVObject: Wolf Skin:2222, type=[ITEM,7]]
DEBUG [2020-03-26 04:19:24,069] Inventory-8          MarsInventoryPlugin, addItem: adding to bag, rv=true
DEBUG [2020-03-26 04:19:24,069] Inventory-8          PersistenceManager, setDirty: setting dirty, entity=[MVObject: Wolf Skin:2222, type=[ITEM,7]] PersistenceFlag=false
DEBUG [2020-03-26 04:19:24,069] Inventory-8          PersistenceManager, setDirty: setting dirty, entity=[Entity: RootBag_Owner2216:2216] PersistenceFlag=false
DEBUG [2020-03-26 04:19:24,069] Inventory-8          MarsInventoryPlugin, CreateInventoryHook.processMessage: added item to inv=2222
DEBUG [2020-03-26 04:19:24,069] Inventory-8          sendResponse to objmgr,636 type=msgsys.RESPONSE id=641 class=multiverse.msgsys.BooleanResponseMessage
DEBUG [2020-03-26 04:19:24,069] Inventory-8          EnginePlugin.handleMessage: processed msg 636, type=MessageType['mv.SUB_OBJECT_DEPS_READY', 59], time in ms=3
DEBUG [2020-03-26 04:19:24,069] SelfMessage          SelfMessageHandler.handle pos=30
DEBUG [2020-03-26 04:19:24,070] SelfMessage          handleSelfMessage id=641 responseTo=636 type=msgsys.RESPONSE class=multiverse.msgsys.BooleanResponseMessage
DEBUG [2020-03-26 04:19:24,070] ObjectManager-4      ObjectManagerPlugin, resolveDeps: ns [Namespace NS.inv:6]: got response msg, result=true
DEBUG [2020-03-26 04:19:24,070] ObjectManager-4      addInstanceContent: instanceOid=1901 oid=2216
DEBUG [2020-03-26 04:19:24,070] ObjectManager-4      sendResponse to mobserver,418 type=msgsys.LONG_RESPONSE id=642 class=multiverse.msgsys.LongResponseMessage
DEBUG [2020-03-26 04:19:24,070] ObjectManager-4      EnginePlugin.handleMessage: processed msg 418, type=MessageType['mv.GENERATE_OBJECT', 57], time in ms=51
DEBUG [2020-03-26 04:19:24,082] MessageIO            handleMessageData from mobserver,434 type=msgsys.SUBSCRIBE len=50 class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,082] MessageIO            [mobserver,434] Got subscription subId=52 filter [SubjectFilter oid=2216 types=mv.DAMAGE,mv.PROPERTY,]
DEBUG [2020-03-26 04:19:24,082] MessageIO            sendResponse to mobserver,434 type=msgsys.RESPONSE id=643 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,085] MessageIO            handleMessageData from mobserver,435 type=msgsys.SUBSCRIBE len=46 class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,085] MessageIO            [mobserver,435] Got subscription subId=53 filter [SubjectFilter oid=2216 types=mv.PROPERTY,]
DEBUG [2020-03-26 04:19:24,085] MessageIO            sendResponse to mobserver,435 type=msgsys.RESPONSE id=644 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,117] MessageIO            handleMessageData from mobserver,442 type=mv.GENERATE_OBJECT len=113 class=multiverse.server.plugins.ObjectManagerClient$GenerateObjectMessage
DEBUG [2020-03-26 04:19:24,117] MessageIO            deliverMessage rpc to multiverse.server.plugins.ObjectManagerPlugin@52a67293
DEBUG [2020-03-26 04:19:24,117] ObjectManager-5      EnginePlugin.handleMessage: got msg id 442, matching 1 hooks for msgtype MessageType['mv.GENERATE_OBJECT', 57]
DEBUG [2020-03-26 04:19:24,118] ObjectManager-5      ObjectManagerPlugin, GenerateObjectHook: generating entity: Zombie, template=[Template: name=Zombie (ns=NS.inv, key=:inv_items, val=Zombie Dust)(ns=NS.combat, key=strength, val=multiverse.mars.objects.MarsStat@389911bc)(ns=NS.combat, key=combat.mobflag, val=true)(ns=NS.combat, key=stamina, val=multiverse.mars.objects.MarsStat@365ef8df)(ns=NS.combat, key=weaponBaseDmg, val=10)(ns=NS.combat, key=health, val=multiverse.mars.objects.MarsStat@32617acc)(ns=NS.combat, key=offense skill, val=multiverse.mars.objects.MarsStat@7763f2e4)(ns=NS.combat, key=intelligence, val=multiverse.mars.objects.MarsStat@7071945)(ns=NS.combat, key=combat.autoability, val=attack ability)(ns=NS.combat, key=combat.regeneffect, val=regen effect)(ns=NS.combat, key=defense skill, val=multiverse.mars.objects.MarsStat@465e817a)(ns=NS.combat, key=armor, val=multiverse.mars.objects.MarsStat@7fd03467)(ns=NS.combat, key=mana, val=multiverse.mars.objects.MarsStat@174c0dab)(ns=NS.combat, key=agility, val=multiverse.mars.objects.MarsStat@28bee336)(ns=NS.combat, key=weaponVarDmg, val=5)(ns=NS.combat, key=attackable, val=true)(ns=NS.wmgr, key=:instance, val=1901)(ns=NS.wmgr, key=:loc, val=(-924365,0,3742575))(ns=NS.wmgr, key=:followsTerrain, val=true)(ns=NS.wmgr, key=:displayContext, val=[DisplayContext: meshFile=zombie.mesh, attachableFlag=false, castShadow=false, receiveShadow=false, numSubmeshes=2, submesh=[Submesh: name=Zombie_Body2-obj.0, material=Zombie.Zombie_Body], submesh=[Submesh: name=Zombie_Clothes2-obj.0, material=Zombie.Zombie_Clothes]])(ns=NS.wmgr, key=:objType, val=[MOB,1])
DEBUG [2020-03-26 04:19:24,118] ObjectManager-5      ObjectManagerPlugin, GenerateObjectHook: created master obj: [Entity: Zombie:2223]
DEBUG [2020-03-26 04:19:24,118] ObjectManager-5      ObjectManagerPlugin, GenerateObjectHook: creating subobj for ns=[Namespace NS.inv:6], subTemplate=[Template: name=Zombie (ns=NS.inv, key=:inv_items, val=Zombie Dust)(ns=NS.master, key=:persistent, val=false)
DEBUG [2020-03-26 04:19:24,118] ObjectManager-5      sendRPC type=mv.GENERATE_SUB_OBJECT id=645 class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,118] ObjectManager-5      Sending mv.GENERATE_SUB_OBJECT id=645 to objmgr
DEBUG [2020-03-26 04:19:24,120] SelfMessage          SelfMessageHandler.handle pos=118
DEBUG [2020-03-26 04:19:24,120] SelfMessage          handleSelfMessage id=645 type=mv.GENERATE_SUB_OBJECT class=multiverse.server.plugins.ObjectManagerClient$GenerateSubObjectMessage
DEBUG [2020-03-26 04:19:24,120] SelfMessage          deliverMessage rpc to multiverse.mars.plugins.MarsInventoryPlugin@2905b568
DEBUG [2020-03-26 04:19:24,120] Inventory-10         EnginePlugin.handleMessage: got msg id 645, matching 1 hooks for msgtype MessageType['mv.GENERATE_SUB_OBJECT', 58]
DEBUG [2020-03-26 04:19:24,120] Inventory-10         InventoryPlugin, GenerateSubObjectHook: masterOid=2223, template=[Template: name=Zombie (ns=NS.inv, key=:inv_items, val=Zombie Dust)(ns=NS.master, key=:persistent, val=false)
DEBUG [2020-03-26 04:19:24,120] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating root bag, playeroid=2223
DEBUG [2020-03-26 04:19:24,120] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating sub bag, moboid=2223, rootbag=[Entity: RootBag_Owner2223:2223], bag pos=0
DEBUG [2020-03-26 04:19:24,120] Inventory-10         subscribe [SubjectFilter oid=2224 types=mv.SET_PROPERTY,mv.GET_PROPERTY,] matching agents 4
DEBUG [2020-03-26 04:19:24,120] Inventory-10         Sending msgsys.SUBSCRIBE id=646 to objmgr
DEBUG [2020-03-26 04:19:24,120] Inventory-10         Sending msgsys.SUBSCRIBE id=646 to combat
DEBUG [2020-03-26 04:19:24,120] Inventory-10         Sending msgsys.SUBSCRIBE id=646 to proxy_1
DEBUG [2020-03-26 04:19:24,120] Inventory-10         Sending msgsys.SUBSCRIBE id=646 to mobserver
DEBUG [2020-03-26 04:19:24,120] SelfMessage          SelfMessageHandler.handle pos=54
DEBUG [2020-03-26 04:19:24,121] SelfMessage          handleSelfMessage id=646 type=msgsys.SUBSCRIBE class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,121] SelfMessage          [objmgr,646] Got subscription subId=64 filter [SubjectFilter oid=2224 types=mv.SET_PROPERTY,mv.GET_PROPERTY,]
DEBUG [2020-03-26 04:19:24,121] SelfMessage          sendResponse to objmgr,646 type=msgsys.RESPONSE id=647 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,121] SelfMessage          SelfMessageHandler.handle pos=28
DEBUG [2020-03-26 04:19:24,121] SelfMessage          handleSelfMessage id=647 responseTo=646 type=msgsys.RESPONSE class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,122] MessageIO            handleMessageData from mobserver,443 responseTo=646 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,123] MessageIO            handleMessageData from combat,314 responseTo=646 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,123] MessageIO            handleMessageData from proxy_1,295 responseTo=646 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,123] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating sub bag, moboid=2223, rootbag=[Entity: RootBag_Owner2223:2223], bag pos=1
DEBUG [2020-03-26 04:19:24,124] Inventory-10         subscribe [SubjectFilter oid=2225 types=mv.SET_PROPERTY,mv.GET_PROPERTY,] matching agents 4
DEBUG [2020-03-26 04:19:24,124] Inventory-10         Sending msgsys.SUBSCRIBE id=648 to objmgr
DEBUG [2020-03-26 04:19:24,124] Inventory-10         Sending msgsys.SUBSCRIBE id=648 to combat
DEBUG [2020-03-26 04:19:24,124] Inventory-10         Sending msgsys.SUBSCRIBE id=648 to proxy_1
DEBUG [2020-03-26 04:19:24,124] Inventory-10         Sending msgsys.SUBSCRIBE id=648 to mobserver
DEBUG [2020-03-26 04:19:24,124] SelfMessage          SelfMessageHandler.handle pos=54
DEBUG [2020-03-26 04:19:24,124] SelfMessage          handleSelfMessage id=648 type=msgsys.SUBSCRIBE class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,124] SelfMessage          [objmgr,648] Got subscription subId=65 filter [SubjectFilter oid=2225 types=mv.SET_PROPERTY,mv.GET_PROPERTY,]
DEBUG [2020-03-26 04:19:24,124] SelfMessage          sendResponse to objmgr,648 type=msgsys.RESPONSE id=649 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,124] SelfMessage          SelfMessageHandler.handle pos=28
DEBUG [2020-03-26 04:19:24,124] SelfMessage          handleSelfMessage id=649 responseTo=648 type=msgsys.RESPONSE class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,129] MessageIO            handleMessageData from combat,315 responseTo=648 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,129] MessageIO            handleMessageData from proxy_1,296 responseTo=648 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,129] MessageIO            handleMessageData from mobserver,444 responseTo=648 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,129] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating sub bag, moboid=2223, rootbag=[Entity: RootBag_Owner2223:2223], bag pos=2
DEBUG [2020-03-26 04:19:24,129] Inventory-10         subscribe [SubjectFilter oid=2226 types=mv.SET_PROPERTY,mv.GET_PROPERTY,] matching agents 4
DEBUG [2020-03-26 04:19:24,129] Inventory-10         Sending msgsys.SUBSCRIBE id=650 to objmgr
DEBUG [2020-03-26 04:19:24,129] Inventory-10         Sending msgsys.SUBSCRIBE id=650 to combat
DEBUG [2020-03-26 04:19:24,129] Inventory-10         Sending msgsys.SUBSCRIBE id=650 to proxy_1
DEBUG [2020-03-26 04:19:24,129] Inventory-10         Sending msgsys.SUBSCRIBE id=650 to mobserver
DEBUG [2020-03-26 04:19:24,129] SelfMessage          SelfMessageHandler.handle pos=54
DEBUG [2020-03-26 04:19:24,130] SelfMessage          handleSelfMessage id=650 type=msgsys.SUBSCRIBE class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,130] SelfMessage          [objmgr,650] Got subscription subId=66 filter [SubjectFilter oid=2226 types=mv.SET_PROPERTY,mv.GET_PROPERTY,]
DEBUG [2020-03-26 04:19:24,130] SelfMessage          sendResponse to objmgr,650 type=msgsys.RESPONSE id=651 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,130] SelfMessage          SelfMessageHandler.handle pos=28
DEBUG [2020-03-26 04:19:24,130] SelfMessage          handleSelfMessage id=651 responseTo=650 type=msgsys.RESPONSE class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,132] MessageIO            handleMessageData from combat,316 responseTo=650 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,132] MessageIO            handleMessageData from proxy_1,297 responseTo=650 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,132] MessageIO            handleMessageData from mobserver,445 responseTo=650 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,132] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating sub bag, moboid=2223, rootbag=[Entity: RootBag_Owner2223:2223], bag pos=3
DEBUG [2020-03-26 04:19:24,132] Inventory-10         subscribe [SubjectFilter oid=2227 types=mv.SET_PROPERTY,mv.GET_PROPERTY,] matching agents 4
DEBUG [2020-03-26 04:19:24,132] Inventory-10         Sending msgsys.SUBSCRIBE id=652 to objmgr
DEBUG [2020-03-26 04:19:24,132] Inventory-10         Sending msgsys.SUBSCRIBE id=652 to combat
DEBUG [2020-03-26 04:19:24,132] Inventory-10         Sending msgsys.SUBSCRIBE id=652 to proxy_1
DEBUG [2020-03-26 04:19:24,132] Inventory-10         Sending msgsys.SUBSCRIBE id=652 to mobserver
DEBUG [2020-03-26 04:19:24,133] SelfMessage          SelfMessageHandler.handle pos=54
DEBUG [2020-03-26 04:19:24,133] SelfMessage          handleSelfMessage id=652 type=msgsys.SUBSCRIBE class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,133] SelfMessage          [objmgr,652] Got subscription subId=67 filter [SubjectFilter oid=2227 types=mv.SET_PROPERTY,mv.GET_PROPERTY,]
DEBUG [2020-03-26 04:19:24,133] SelfMessage          sendResponse to objmgr,652 type=msgsys.RESPONSE id=653 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,133] SelfMessage          SelfMessageHandler.handle pos=28
DEBUG [2020-03-26 04:19:24,133] SelfMessage          handleSelfMessage id=653 responseTo=652 type=msgsys.RESPONSE class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,141] MessageIO            handleMessageData from combat,317 responseTo=652 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,141] MessageIO            handleMessageData from proxy_1,298 responseTo=652 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,141] MessageIO            handleMessageData from mobserver,446 responseTo=652 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,142] Inventory-10         MarsInventoryPlugin, createInvSubObj: creating sub bag, moboid=2223, rootbag=[Entity: RootBag_Owner2223:2223], bag pos=4
DEBUG [2020-03-26 04:19:24,142] Inventory-10         subscribe [SubjectFilter oid=2228 types=mv.SET_PROPERTY,mv.GET_PROPERTY,] matching agents 4
DEBUG [2020-03-26 04:19:24,142] Inventory-10         Sending msgsys.SUBSCRIBE id=654 to objmgr
DEBUG [2020-03-26 04:19:24,142] Inventory-10         Sending msgsys.SUBSCRIBE id=654 to combat
DEBUG [2020-03-26 04:19:24,143] Inventory-10         Sending msgsys.SUBSCRIBE id=654 to proxy_1
DEBUG [2020-03-26 04:19:24,143] Inventory-10         Sending msgsys.SUBSCRIBE id=654 to mobserver
DEBUG [2020-03-26 04:19:24,145] SelfMessage          SelfMessageHandler.handle pos=54
DEBUG [2020-03-26 04:19:24,145] SelfMessage          handleSelfMessage id=654 type=msgsys.SUBSCRIBE class=multiverse.msgsys.SubscribeMessage
DEBUG [2020-03-26 04:19:24,145] SelfMessage          [objmgr,654] Got subscription subId=68 filter [SubjectFilter oid=2228 types=mv.SET_PROPERTY,mv.GET_PROPERTY,]
DEBUG [2020-03-26 04:19:24,145] SelfMessage          sendResponse to objmgr,654 type=msgsys.RESPONSE id=655 class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,145] SelfMessage          SelfMessageHandler.handle pos=28
DEBUG [2020-03-26 04:19:24,145] SelfMessage          handleSelfMessage id=655 responseTo=654 type=msgsys.RESPONSE class=multiverse.msgsys.ResponseMessage
DEBUG [2020-03-26 04:19:24,149] MessageIO            handleMessageData from combat,318 responseTo=654 type=msgsys.RESPONSE len=24 class=multiverse.msgsys.ResponseMessage
